,schedule,fcj,csv,total_difference,worst_manoeuvre,worst_elm,worst_elm_difference,heading,speed,exponent
0,P21,manual_F3A_P21_21_08_19_00000215.json,manual_F3A_P21_21_08_19_00000215.csv,10.677999999999926,hB,83,1.521000000000015,2.5795610766578054,6.07568022517505,0.027483381048207134
1,P23,manual_F3A_P23_21_10_23_00000117.json,manual_F3A_P23_21_10_23_00000117.csv,77.04900000000005,loop,160,26.439999999999998,3.693884433707428,11.379095397632039,0.1409082973640733
2,P23,manual_F3A_P23_21_11_02_00000137.json,manual_F3A_P23_21_11_02_00000137.csv,69.08699999999995,loop,160,26.56099999999998,3.1093524950807625,2.27045040207536,-0.09544477824489254
3,F21,manual_F3A_F21_21_09_01_00000015.json,manual_F3A_F21_21_09_01_00000015.csv,248.6740000000001,square,163,23.799000000000035,3.3386301174862636,9.004102847959782,0.153781344236263
4,P23,manual_F3A_P23_21_11_02_00000134.json,manual_F3A_P23_21_11_02_00000134.csv,9.525999999999954,Et,84,2.5999999999999943,2.768411413333399,2.0880988720461273,0.2081122198353637
5,P23,manual_F3A_P23_21_10_10_00000098.json,manual_F3A_P23_21_10_10_00000098.csv,14.048000000000016,rc,59,2.3589999999999804,4.241109926767911,2.8811552424775835,0.20417723538671417
6,F21,manual_F3A_F21_21_09_01_00000018.json,manual_F3A_F21_21_09_01_00000018.csv,262.885,square,163,26.880999999999972,3.304467543239949,9.375948437556973,0.16072604597200574
7,P23,manual_F3A_P23_21_10_17_00000102.json,manual_F3A_P23_21_10_17_00000102.csv,76.16700000000009,loop,160,24.759000000000015,3.4756641219627133,-7.336372354063471,0.4098042867241566
8,P23,manual_F3A_P23_21_10_17_00000105.json,manual_F3A_P23_21_10_17_00000105.csv,13.593000000000053,Et,84,1.8780000000000143,6.294261174600109,5.992512680518647,-0.05697662195904056
9,F21,manual_F3A_F21_21_09_15_00000051.json,manual_F3A_F21_21_09_15_00000051.csv,24.040999999999954,9,69,4.240000000000009,3.0215453883447076,2.1884638071735942,-0.19936017994038602
10,P23,manual_F3A_P23_21_10_23_00000115.json,manual_F3A_P23_21_10_23_00000115.csv,14.401999999999909,fight,117,2.4399999999999977,3.6770107438445168,9.290213180851438,0.17347215164266044
11,F21,manual_F3A_F21_21_09_16_00000059.json,manual_F3A_F21_21_09_16_00000059.csv,16.444000000000017,v8,53,4.159999999999997,3.0576848985900096,5.29674122036181,0.10412244338324544
12,F23,manual_F3A_F23_21_09_23_00000077.json,manual_F3A_F23_21_09_23_00000077.csv,26.40100000000021,hsql,179,5.360000000000014,3.0878181018976605,10.589775071066976,0.2902619297829837
13,F21,manual_F3A_F21_21_09_17_00000066.json,manual_F3A_F21_21_09_17_00000066.csv,281.92199999999974,square,164,25.80000000000001,1.1402111413102727,6.448661457359773,0.44450771903129
14,P21,manual_F3A_P21_21_09_15_00000048.json,manual_F3A_P21_21_09_15_00000048.csv,19.479000000000113,rollC,89,4.0,2.4570880435388673,2.731560779509874,-0.10541458032419282
15,P21,manual_F3A_P21_21_08_04_00000162.json,manual_F3A_P21_21_08_04_00000162.csv,13.718999999999951,tHat,91,3.6790000000000305,3.113655769489914,5.261128444835633,0.07481158652168436
16,P23,manual_F3A_P23_21_09_23_00000071.json,manual_F3A_P23_21_09_23_00000071.csv,73.36300000000006,loop,160,23.56099999999998,2.9875522464984114,6.1265102875359005,-0.01451883349695261
17,P21,manual_F3A_P21_21_08_04_00000160.json,manual_F3A_P21_21_08_04_00000160.csv,8.165000000000205,rollC,89,1.7200000000000273,3.01925421184486,5.647966772271831,-0.09259125892984066
18,P21,manual_F3A_P21_21_09_15_00000052.json,manual_F3A_P21_21_09_15_00000052.csv,8.200999999999908,hsq,127,1.9590000000000032,3.0683452035889562,2.8193733079418735,-0.2586029332916357
19,P21,manual_F3A_P21_21_08_19_00000222.json,manual_F3A_P21_21_08_19_00000222.csv,8.279000000000025,rollC,88,1.3199999999999932,2.5611865998859935,7.658995394079087,0.03233413912424904
20,P21,manual_F3A_P21_21_09_13_00000022.json,manual_F3A_P21_21_09_13_00000022.csv,7.560000000000002,hsq,127,1.63900000000001,5.365340369943004,6.073286054090612,0.4549039054697209
21,F21,manual_F3A_F21_21_09_16_00000057.json,manual_F3A_F21_21_09_16_00000057.csv,153.19099999999963,square,160,15.879999999999995,3.188272973209151,4.640502022754793,0.012847642137254513
22,P21,manual_F3A_P21_21_08_19_00000223.json,manual_F3A_P21_21_08_19_00000223.csv,10.608000000000033,rollC,88,2.3210000000000264,2.4939667200810223,9.008206213625611,0.15191040995569696
23,P23,manual_F3A_P23_21_10_23_00000114.json,manual_F3A_P23_21_10_23_00000114.csv,710.336,tri,136,24.281000000000006,3.728433759862943,8.219368178705105,0.13995281292471373
24,P21,manual_F3A_P21_21_09_01_00000009.json,manual_F3A_P21_21_09_01_00000009.csv,19.361000000000026,aV,140,8.918999999999983,3.4551099649634893,6.757879744429443,0.04370326491898398
25,F23,manual_F3A_F23_21_10_10_00000097.json,manual_F3A_F23_21_10_10_00000097.csv,119.6400000000001,av,185,27.159999999999968,4.890833753644763,2.635629400225109,-0.04374540111323953
